Date,WMT,FB
12/31/2013,71.126411,54.650002
1/2/2014,71.325287,54.709999
1/3/2014,71.090279,54.560001
1/6/2014,70.692558,57.200001
1/7/2014,70.909485,57.919998
1/8/2014,70.349083,58.23
1/9/2014,70.584076,57.220001
1/10/2014,70.538902,57.939999
1/13/2014,70.041756,55.91
1/14/2014,70.466599,57.740002
1/15/2014,70.195419,57.599998
1/16/2014,69.38192,57.189999
1/17/2014,68.866714,56.299999
1/21/2014,68.550354,58.509998
1/22/2014,68.107437,57.509998
1/23/2014,67.754944,56.630001
1/24/2014,67.266838,54.450001
1/27/2014,67.022789,53.549999
1/28/2014,67.492798,55.139999
1/29/2014,66.9776,53.529999
1/30/2014,67.565117,61.080002
1/31/2014,67.501854,62.57
2/3/2014,65.676025,61.48
2/4/2014,65.739304,62.75
2/5/2014,65.865829,62.189999
2/6/2014,65.820633,62.16
2/7/2014,66.661247,64.32
2/10/2014,66.67028,63.549999
2/11/2014,67.610329,64.849998
2/12/2014,67.754944,64.449997
2/13/2014,68.116486,67.330002
2/14/2014,68.505165,67.089996
2/18/2014,68.089378,67.300003
2/19/2014,67.655518,68.059998
2/20/2014,66.453362,69.629997
2/21/2014,66.091805,68.589996
2/24/2014,66.29969,70.779999
2/25/2014,66.29969,69.849998
2/26/2014,67.592247,69.260002
2/27/2014,67.393387,68.940002
2/28/2014,67.519928,68.459999
3/3/2014,66.995667,67.410004
3/4/2014,67.908607,68.800003
3/5/2014,67.610329,71.57
3/6/2014,67.68264,70.839996
3/7/2014,67.846382,69.800003
3/10/2014,67.709938,72.029999
3/11/2014,68.155685,70.099998
3/12/2014,68.710609,70.879997
3/13/2014,68.16478,68.830002
3/14/2014,67.573456,67.720001
3/17/2014,67.937347,68.739998
3/18/2014,68.019234,69.190002
3/19/2014,67.664429,68.239998
3/20/2014,68.574142,66.970001
3/21/2014,69.229141,67.239998
3/24/2014,69.829552,64.099998
3/25/2014,69.929626,64.889999
3/26/2014,69.347404,60.389999
3/27/2014,69.265526,60.970001
3/28/2014,69.147285,60.009998
3/31/2014,69.529358,60.240002
4/1/2014,69.838654,62.619999
4/2/2014,70.211624,62.720001
4/3/2014,70.466354,59.490002
4/4/2014,70.329895,56.75
4/7/2014,70.329895,56.950001
4/8/2014,71.121353,58.189999
4/9/2014,70.930305,62.41
4/10/2014,69.947815,59.16
4/11/2014,69.593033,58.529999
4/14/2014,70.393585,58.889999
4/15/2014,69.938705,59.09
4/16/2014,70.248024,59.720001
4/17/2014,70.648293,58.939999
4/21/2014,70.593704,61.240002
4/22/2014,70.557312,63.029999
4/23/2014,70.993988,61.360001
4/24/2014,71.239601,60.869999
4/25/2014,71.521622,57.709999
4/28/2014,72.558701,56.139999
4/29/2014,72.476814,58.150002
4/30/2014,72.513191,59.779999
5/1/2014,72.50412,61.150002
5/2/2014,71.976471,60.459999
5/5/2014,71.521622,61.220001
5/6/2014,70.96669,58.529999
5/7/2014,71.360298,57.389999
5/8/2014,72.028488,56.759998
5/9/2014,72.495323,57.240002
5/12/2014,72.449547,59.830002
5/13/2014,72.440392,59.830002
